start_date,end_date,event,level,location,venue,prize_usd,status,watch_note,relevance_to_wang_sun,source_url
2026-06-16,2026-06-21,WTT 球星挑战赛卢布尔雅那站,球星挑战赛,斯洛文尼亚卢布尔雅那,蒂沃利体育馆,300000,进行中/即将结束,"以 WTT 官网 draw/player list 为准","顶尖国手是否参赛需以官方签表确认","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-06-25,2026-07-05,WTT 大满贯美国站,大满贯,美国洛杉矶/安大略会议中心,洛杉矶安大略会议中心,1550000,预告,"大满贯高积分赛事，冠军约 2000 分口径","王楚钦/孙颖莎如参赛将是下阶段重点","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-07-21,2026-07-26,WTT 球星挑战赛圣若泽-杜斯坎普斯站,球星挑战赛,巴西圣若泽-杜斯坎普斯,南谷购物中心,300000,预告,"以 WTT 官网 draw/player list 为准","顶尖国手是否参赛需以官方签表确认","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-08-05,2026-08-09,WTT 冠军赛横滨站,冠军赛,日本横滨,横滨文化体育馆,500000,预告,"冠军赛通常面向顶级单打选手","王楚钦/孙颖莎潜在重点单打赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-08-13,2026-08-23,WTT 大满贯瑞典站,大满贯,瑞典马尔默,马尔默体育馆,1550000,预告,"大满贯高积分赛事","王楚钦/孙颖莎潜在重点赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-09-01,2026-09-06,WTT 常规挑战赛阿拉木图站,常规挑战赛,哈萨克斯坦阿拉木图,ADD 乒乓球中心,100000,预告,"以 WTT 官网 draw/player list 为准","顶尖国手是否参赛需以官方签表确认","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-09-08,2026-09-13,WTT 冠军赛澳门站,冠军赛,中国澳门,澳门东亚运动会体育馆,800000,预告,"冠军赛重点赛事","王楚钦/孙颖莎潜在重点单打赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-09-15,2026-09-20,WTT 球星挑战赛阿斯塔纳站,球星挑战赛,哈萨克斯坦阿斯塔纳,武术宫,300000,预告,"伦敦站迁移至阿斯塔纳","参赛名单待官方确认","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-10-01,2026-10-11,WTT 大满贯北京站,大满贯,中国北京,北京首钢园,2050000,预告,"全年高关注大满贯赛事","王楚钦/孙颖莎潜在重点主场赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-10-27,2026-11-01,WTT 冠军赛蒙彼利埃站,冠军赛,法国蒙彼利埃,法兰西南部竞技场,500000,预告,"冠军赛重点赛事","王楚钦/孙颖莎潜在重点单打赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-11-03,2026-11-08,WTT 冠军赛法兰克福站,冠军赛,德国法兰克福,待定,500000,预告,"冠军赛重点赛事","王楚钦/孙颖莎潜在重点单打赛事","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-11-29,2026-12-06,ITTF 混合团体世界杯,ITTF 团体赛事,中国成都,四川省体育中心,待定,预告,"国家队赛事","二人可能入选中国队，名单待官方确认","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
2026-12-08,2026-12-13,WTT 总决赛,总决赛,中国香港,待定,1300000,预告,"年终顶级总决赛","若保持排名/积分，二人通常是重点候选","https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E7%B3%BB%E5%88%97%E8%B5%9B"
